央视,#genre#
CCTV-15音乐,http://39.134.176.253/PLTV/88888888/224/3221226112/index.m3u8#http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-15/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-15/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225641/index.m3u8
CCTV-16奥运赛事,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV17农业农村,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226990/1.m3u8#http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/cctv-17/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/cctv-17/index.m3u8?IAS$8M四川#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CETV-1中国教育,http://39.134.176.253/PLTV/88888888/224/3221226132/index.m3u8#http://121.31.30.90:8085/ysten-business/live/jiaoyutv/1.m3u8
CCTV-高尔夫•网球,http://39.134.176.253/PLTV/88888888/224/3221226402/index.m3u8
CCTV-4K超清,http://39.134.176.253/PLTV/88888888/224/3221226758/index.m3u8#https://hls.cntv.baishancdnx.cn/asp/hls/8000/0303000a/3/default/9891cea600df4e8a83851b1b1ce23194/8000.m3u8#http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8#http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8#http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8#http://112.17.40.12/PLTV/88888888/224/3221226758/1.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8#http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8#http://112.17.40.13/PLTV/88888888/224/3221226758/index.m3u8#http://120.221.66.110/livews-4k.5club.cctv.cn/live/4K1023.stream/playlist.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226758/index.m3u8#http://112.17.40.12/wh7f454c46tw1099172031_1459911128/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/index.m3u8?fmt=ts2hls
CGTN-国际电视台,http://39.134.176.253/PLTV/88888888/224/3221226314/index.m3u8#http://39.130.215.222:6610/gitv_live/G_CGTN-HD/#http://39.135.139.214:6610/PLTV/88888888/224/3221225747/2/index.m3u8#https://live.cgtn.com/1000/prog_index.m3u8#http://223.110.241.206:6610/gitv/live1/G_CCTV-NEWS/G_CCTV-NEWS/
CGTN-美国,http://live.cgtn.com/500/prog_index.m3u8#http://live.cgtn.com/1000/prog_index.m3u8
CGTN-拉丁美洲,http://livees.cgtn.com/1000e/prog_index.m3u8
中国气象,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

卫视,#genre#
广东卫视,http://ivi.bupt.edu.cn/hls/gdhd.m3u8#http://39.134.168.91/PLTV/1/224/3221225528/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225530/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/guangdongstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guangdongstv/index.m3u8?IAS$8M四川
广东体育,http://116.199.5.52:8114/index.m3u8?Fsv_chan_hls_se_idx=8&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
广东新闻,http://nclive.grtn.cn/xwpd/sd/live.m3u8?_upt=2a6210231610092610
深圳卫视,http://ivi.bupt.edu.cn/hls/szhd.m3u8#http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225532/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225534/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/hdshenzhenstv/1.m3u8?IASHttpSessionId=0=$FHD
广州新闻,http://116.199.5.52:8114/index.m3u8?Fsv_chan_hls_se_idx=11&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
广州影视,http://116.199.5.52:8114/index.m3u8?Fsv_chan_hls_se_idx=52&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
海南卫视,http://livelyws.chinamcache.com/lyws/zb01.m3u8#http://39.134.168.91/PLTV/1/224/3221225620/index.m3u8#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226427/1.m3u8#http://39.135.139.214:6610/PLTV/88888888/224/3221225722/2/index.m3u8
广西卫视,http://ivi.bupt.edu.cn/hls/gxtv.m3u8#http://39.134.168.91/PLTV/1/224/3221225598/index.m3u8
东南卫视,http://117.169.120.140:8080/live/dongnanstv/.m3u8#http://39.134.168.91/PLTV/1/224/3221225580/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/dongnanstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/dongnanstv/index.m3u8?IAS$8M四川
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8#http://39.134.168.91/PLTV/1/224/3221225640/index.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxtv.m3u8#http://39.134.168.91/PLTV/1/224/3221225588/index.m3u8#http://117.148.187.57/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221230667/01.m3u8?fmt=ts2hls=$4M
湖南卫视,http://ivi.bupt.edu.cn/hls/hunanhd.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226553/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225518/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/hunanstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hunanstv/index.m3u8?IAS$8M四川#http://39.134.168.91/PLTV/1/224/3221225516/index.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gztv.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/guizhoustv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/guizhoustv/index.m3u8?IAS$8M四川
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8#http://39.134.168.91/PLTV/1/224/3221225632/index.m3u8#http://39.130.215.222:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-HD.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8#http://39.134.168.91/PLTV/1/224/3221225520/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225522/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/zhejiangstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/zhejiangstv/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
东方卫视,http://ivi.bupt.edu.cn/hls/dfhd.m3u8#http://39.134.168.91/PLTV/1/224/3221225504/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225506/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/dongfangstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/dongfangstv/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
安徽卫视,http://ivi.bupt.edu.cn/hls/ahhd.m3u8#http://39.134.168.91/PLTV/1/224/3221225548/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/anhuistv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/anhuistv/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
江苏卫视,http://ivi.bupt.edu.cn/hls/jshd.m3u8#http://39.134.168.91/PLTV/1/224/3221225512/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225514/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/jiangsustv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/jiangsustv/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbhd.m3u8#http://39.134.168.91/PLTV/1/224/3221225544/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225546/index.m3u#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/hubeistv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hubeistv/index.m3u8?IAS$8M四川#http://221.179.217.9/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqhd.m3u8#http://39.134.168.91/PLTV/1/224/3221225576/index.m3u8#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/chongqingstv/index.m3u8?IAS$8M四川#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/chongqingstv/1.m3u8?IASHttpSessionId=0=$FHD#http://hdtv.haust.edu.cn/hls/hls186.m3u8#http://hdtv.haust.edu.cn/hls/hls68a41.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/sctv.m3u8#http://39.134.168.91/PLTV/1/224/3221225592/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/sichuanstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/sichuanstv/index.m3u8?IAS$8M四川#http://hdtv.haust.edu.cn/hls/hls185.m3u8#http://hdtv.haust.edu.cn/hls/hls67a42.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hntv.m3u8#http://39.134.168.91/PLTV/1/224/3221225584/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/henanstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/henanstv/index.m3u8?IAS$8M四川
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8#http://39.134.168.91/PLTV/1/224/3221225628/index.m3u8
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8#http://39.134.168.91/PLTV/1/224/3221225636/index.m3u8#,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8
宁夏卫视,http://121.31.30.90:8085/ysten-business/live/ningxiastv/1.m3u8#http://39.134.168.91/PLTV/1/224/3221225638/index.m3u8#http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdhd.m3u8#http://39.134.168.91/PLTV/1/224/3221225540/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225542/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/shandongstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/shandongstv/index.m3u8?IAS$8M四川
河北卫视,http://ivi.bupt.edu.cn/hls/hebtv.m3u8#http://39.134.168.91/PLTV/1/224/3221225624/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/hebeistv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/hebeistv/index.m3u8?IAS$8M四川
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8#http://39.134.168.91/PLTV/1/224/3221225646/index.m3u8#http://223.110.247.161:6610/gitv/live1/SXWS/SXWS#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8#http://39.134.168.91/PLTV/1/224/3221225626/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8#http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225836/index.m3u8#http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8
天津卫视,http://ivi.bupt.edu.cn/hls/tjhd.m3u8#http://39.134.168.91/PLTV/1/224/3221225594/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/tianjinstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.115.163:8080/PLTV/88888910/224/3221225698/index.m3u8
北京卫视,http://ivi.bupt.edu.cn/hls/btv1.m3u8#http://39.134.168.91/PLTV/1/224/3221225524/index.m3u8#http://39.134.168.91/PLTV/1/224/3221225526/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/beijingstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/beijingstv/index.m3u8?IAS$8M四川#http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
北京文艺,http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
北京纪实,http://ivi.bupt.edu.cn/hls/btv11hd.m3u8
北京科教,http://ivi.bupt.edu.cn/hls/btv3.m3u8
北京影视,http://ivi.bupt.edu.cn/hls/btv4.m3u8
北京财经,http://ivi.bupt.edu.cn/hls/btv5.m3u8
北京生活,http://ivi.bupt.edu.cn/hls/btv7.m3u8
北京青年,http://ivi.bupt.edu.cn/hls/btv8.m3u8
北京新闻,http://ivi.bupt.edu.cn/hls/btv9.m3u8
北京冬奥纪实,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lnhd.m3u8#http://39.134.168.91/PLTV/1/224/3221225590/index.m3u8#http://39.134.198.32:6410/yst.live.scmobile.com/otvzte.scmcc.com.cNF/ysten-businessmbble/live/liaoningstv/1.m3u8?IASHttpSessionId=0=$FHD#http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-business/live/liaoningstv/index.m3u8?IAS$8M四川
